time_sec,flow_intensity,fg_pixel_ratio,total_mv_px,avg_mv_px_per_object_sec,object_count,feeding_score_pct
3.00,2.6342,0.1425,1078.82,1.77,203,0.00
6.00,3.0723,0.1562,1091.28,2.09,174,100.00
9.00,2.5594,0.1471,1153.23,2.71,142,88.01
12.00,2.6813,0.1586,1187.46,2.57,154,87.66
15.00,2.6837,0.1436,1142.80,2.12,180,82.80
18.00,3.9739,0.1845,1341.03,2.13,210,100.00
21.00,10.5304,0.2096,2102.29,2.13,329,100.00
24.00,7.3108,0.2258,2344.11,2.55,306,100.00
27.00,7.2306,0.2228,2041.31,2.25,303,100.00
30.00,7.0970,0.1865,1918.27,2.36,271,100.00
33.00,7.2655,0.2197,1783.14,2.47,241,100.00
36.00,8.0483,0.2253,2640.83,3.48,253,100.00
39.00,9.2414,0.2362,1797.86,2.50,240,100.00
42.00,8.9811,0.2441,1961.82,2.57,254,100.00
45.00,9.8139,0.2584,2124.04,1.96,361,95.55
48.00,11.4086,0.2589,2309.28,2.18,353,93.69
51.00,10.1319,0.2416,2442.21,1.98,412,90.51
54.00,8.6190,0.2409,2768.85,2.12,435,89.01
57.00,8.7297,0.2419,3223.06,2.12,506,87.92
60.00,8.8377,0.2414,3102.22,2.29,452,88.34
63.00,6.7239,0.2321,3043.43,2.33,435,86.82
66.00,8.5056,0.2357,2567.51,2.02,423,85.10
69.00,8.3441,0.2266,2003.27,1.79,374,81.00
72.00,7.7654,0.2535,2282.89,2.03,374,80.15
75.00,8.0089,0.2336,2574.72,2.47,347,82.56
78.00,8.9773,0.2544,2844.53,2.62,362,87.08
81.00,8.7028,0.2664,2378.54,2.36,336,88.21
84.00,7.8683,0.2385,2120.38,1.91,371,84.23
87.00,7.0879,0.2677,1683.31,1.68,334,78.99
90.00,7.7665,0.2456,1550.08,1.62,318,74.52
93.00,7.8949,0.2313,1349.54,1.38,326,68.19
96.00,7.2749,0.2297,1570.84,1.46,358,62.96
99.00,6.9568,0.2135,1239.56,1.36,303,57.88
102.00,6.8837,0.2195,1572.98,1.89,278,57.18
105.00,6.2227,0.2077,1539.80,2.03,253,56.39
108.00,6.8912,0.2153,1431.47,2.18,219,58.03
111.00,5.5480,0.2177,1450.55,2.01,241,56.79
114.00,6.0064,0.2154,1968.59,2.75,239,61.92
117.00,5.6303,0.2151,1812.75,2.56,236,64.26
120.00,5.8978,0.2105,1734.81,2.27,255,63.88
123.00,6.3164,0.2181,1668.57,2.12,262,63.30
126.00,5.7145,0.2097,1674.02,2.24,249,62.66
129.00,6.6507,0.2284,1916.34,2.31,277,64.66
132.00,7.7284,0.2170,1769.19,2.05,287,64.77
135.00,7.3438,0.2243,1791.50,2.45,244,67.98
138.00,8.1287,0.2235,1710.16,2.65,215,72.95
141.00,7.7389,0.2162,1206.53,1.81,222,69.61
144.00,8.1239,0.2310,1030.36,1.38,249,64.71
147.00,8.2403,0.2320,1912.67,1.97,324,65.51
150.00,7.0990,0.2295,1633.61,1.94,280,64.67
153.00,6.7781,0.2291,1292.00,1.52,284,60.28
156.00,7.3533,0.2232,1359.68,1.51,301,56.85
159.00,6.8361,0.2018,1066.00,1.24,286,50.23
162.00,6.3486,0.2135,612.59,1.06,193,48.90
165.00,8.4155,0.2333,1333.46,1.69,263,51.53
168.00,7.0049,0.2210,2005.94,1.87,358,52.76
171.00,6.4299,0.2428,2423.51,1.84,440,54.20
174.00,7.3785,0.2410,3004.02,2.42,413,60.23
177.00,7.2500,0.2275,2994.48,2.20,453,62.76
180.00,7.1568,0.2387,3003.17,2.35,426,66.36
183.00,6.4839,0.2304,2111.47,2.28,309,67.67
186.00,6.5555,0.2123,1724.36,2.02,284,66.06
189.00,7.5904,0.2295,1624.07,2.00,271,66.60
192.00,10.7815,0.2063,1106.00,1.20,306,63.61
195.00,8.9473,0.2661,1289.08,1.20,358,62.67
198.00,6.9159,0.2683,1927.87,1.70,377,63.38
201.00,6.9610,0.2344,1744.55,1.55,375,61.02
204.00,8.8312,0.2412,2651.99,2.08,425,64.97
207.00,6.9444,0.2668,1833.98,1.68,363,65.06
210.00,7.7334,0.2561,1579.46,1.65,320,65.06
213.00,6.7560,0.2220,2520.07,2.01,418,64.59
216.00,6.5426,0.2277,2258.92,2.20,342,65.61
219.00,6.4567,0.2100,2151.74,2.38,301,66.57
222.00,6.3896,0.2108,1901.78,2.46,258,67.83
225.00,6.8185,0.2031,2123.26,2.87,247,71.62
228.00,6.8028,0.2269,2105.04,3.04,231,77.23
231.00,5.4323,0.2063,2103.84,2.91,241,78.38
234.00,5.5573,0.2114,1823.14,2.46,247,76.71
237.00,7.7689,0.2298,1920.58,2.43,263,78.46
240.00,7.1641,0.2379,2265.48,3.01,251,81.99
243.00,6.4829,0.2321,2016.25,2.18,308,79.72
246.00,6.2169,0.2247,1654.63,1.73,319,74.25
249.00,6.6020,0.2187,1432.30,2.09,228,72.18
252.00,7.5477,0.2203,1278.65,1.78,240,69.50
255.00,6.7834,0.2237,1533.50,2.26,226,69.84
258.00,5.7381,0.2045,1436.94,2.33,206,68.37
261.00,6.8061,0.2119,1451.20,2.48,195,69.68
264.00,5.7259,0.2049,1362.65,2.34,194,68.36
267.00,7.0039,0.2106,1185.79,2.40,165,69.25
270.00,7.3488,0.2180,1400.10,2.29,204,70.06
273.00,9.1065,0.2435,1855.21,2.25,275,73.71
276.00,8.4044,0.2533,2040.66,2.40,283,77.53
279.00,7.5541,0.2379,2533.70,2.82,300,81.57
282.00,8.4293,0.2374,2209.53,2.12,347,81.28
285.00,7.3147,0.2315,2059.57,2.21,311,80.11
288.00,7.1351,0.2482,2192.83,2.22,329,80.02
291.00,6.5377,0.2247,1756.16,1.87,313,75.74
294.00,6.6523,0.2188,1599.25,1.62,329,70.41
297.00,8.0977,0.2245,1491.92,1.61,309,67.77
